abordadora	abordador	Gender=Fem|Number=Sing
abordadoras	abordador	Gender=Fem|Number=Plur
abordadores	abordador	Gender=Masc|Number=Plur
abordagem	abordagem	Gender=Fem|Number=Sing
abordagens	abordagem	Gender=Fem|Number=Plur
abordo	abordo	Gender=Masc|Number=Sing
abordos	abordo	Gender=Masc|Number=Plur
aborrecedor	aborrecedor	Gender=Masc|Number=Sing
aborrecedora	aborrecedor	Gender=Fem|Number=Sing
aborrecedoras	aborrecedor	Gender=Fem|Number=Plur
aborrecedores	aborrecedor	Gender=Masc|Number=Plur
aborrecimento	aborrecimento	Gender=Masc|Number=Sing
aborrecimentos	aborrecimento	Gender=Masc|Number=Plur
abortamento	abortamento	Gender=Masc|Number=Sing
abortamentos	abortamento	Gender=Masc|Number=Plur
aborteiro	aborteiro	Gender=Masc|Number=Sing
aborteiros	aborteiro	Gender=Masc|Number=Plur
aborticídio	aborticídio	Gender=Masc|Number=Sing
aborticídios	aborticídio	Gender=Masc|Number=Plur
abortiva	abortivo	Gender=Fem|Number=Sing
abortivas	abortivo	Gender=Fem|Number=Plur
abortivo	abortivo	Gender=Masc|Number=Sing
abortivos	abortivo	Gender=Masc|Number=Plur
aborto	aborto	Gender=Masc|Number=Sing
abortos	aborto	Gender=Masc|Number=Plur
abotoadeira	abotoadeira	Gender=Fem|Number=Sing
abotoadeiras	abotoadeira	Gender=Fem|Number=Plur
abotoador	abotoador	Gender=Masc|Number=Sing
abotoadora	abotoador	Gender=Fem|Number=Sing
abotoadoras	abotoador	Gender=Fem|Number=Plur
abotoadores	abotoador	Gender=Masc|Number=Plur
abotoadura	abotoadura	Gender=Fem|Number=Sing
abotoaduras	abotoadura	Gender=Fem|Number=Plur
abotoamento	abotoamento	Gender=Masc|Number=Sing
abotoamentos	abotoamento	Gender=Masc|Number=Plur
abotoação	abotoação	Gender=Fem|Number=Sing
abotoações	abotoação	Gender=Fem|Number=Plur
abracadabra	abracadabra	Gender=Masc|Number=Sing
abracadabras	abracadabra	Gender=Masc|Number=Plur
abrandamento	abrandamento	Gender=Masc|Number=Sing
abrandamentos	abrandamento	Gender=Masc|Number=Plur
abrangência	abrangência	Gender=Fem|Number=Sing
abrangências	abrangência	Gender=Fem|Number=Plur
abraquia	abraquia	Gender=Fem|Number=Sing
abraquias	abraquia	Gender=Fem|Number=Plur
abraquiocefalia	abraquiocefalia	Gender=Fem|Number=Sing
abraquiocefalias	abraquiocefalia	Gender=Fem|Number=Plur
abrasamento	abrasamento	Gender=Masc|Number=Sing
abrasamentos	abrasamento	Gender=Masc|Number=Plur
abrasileiramento	abrasileiramento	Gender=Masc|Number=Sing
abrasileiramentos	abrasileiramento	Gender=Masc|Number=Plur
abrasiva	abrasivo	Gender=Fem|Number=Sing
abrasivas	abrasivo	Gender=Fem|Number=Plur
abrasividade	abrasividade	Gender=Fem|Number=Sing
abrasividades	abrasividade	Gender=Fem|Number=Plur
abrasivo	abrasivo	Gender=Masc|Number=Sing
abrasivos	abrasivo	Gender=Masc|Number=Plur
abrasão	abrasão	Gender=Fem|Number=Sing
abrasões	abrasão	Gender=Fem|Number=Plur
abraçadeira	abraçadeira	Gender=Fem|Number=Sing
abraçadeiras	abraçadeira	Gender=Fem|Number=Plur
abraçamento	abraçamento	Gender=Masc|Number=Sing
